File_ID,Texto_Espanhol,Traducao_PTBR
dlg_choose_es.json data[8][151][0],¿Estás bien?,Você está bem?
dlg_choose_es.json data[8][152][0],Bien.,Bom.
dlg_choose_es.json data[8][153][0],Confundido.,Confuso.
dlg_choose_es.json data[9][19][0],Pertenezco al culto.,Eu pertenço ao culto.
dlg_choose_es.json data[9][20][0],No tengo nombre.,Eu não tenho nome.
dlg_choose_es.json data[9][124][0],Os conozco.,Eu conheço você.
dlg_choose_es.json data[9][125][0],¿Dónde estoy?,Onde estou?
dlg_choose_es.json data[9][126][0],Liberadme.,Liberte-me.
dlg_choose_es.json data[9][143][0],¿Por qué andan buscándome?,Por que estão me procurando?
dlg_choose_es.json data[9][145][0],Adiós.,Bye Bye.
dlg_choose_es.json data[9][169][0],¿Clérigos?,Clérigos?
dlg_choose_es.json data[9][170][0],¿Capturado?,Capturado?
dlg_choose_es.json data[9][171][0],¿Lila?,Lilás?
dlg_choose_es.json data[10][37][0],Tiene su parte de razón.,Ele tem razão.
dlg_choose_es.json data[10][38][0],Déjalo.,Deixe estar.
dlg_choose_es.json data[10][112][0],Trabamos amistad.,Nos tornamos amigos.
dlg_choose_es.json data[10][113][0],Clérigos.,Clérigos.
dlg_choose_es.json data[11][40][0],¿Puedo ayudar?,Posso ajudar?
dlg_choose_es.json data[11][41][0],"Por favor, dale las baterías.","Por favor, dê as pilhas para ele."
dlg_choose_es.json data[11][185][0],He sido yo.,Fui eu.
dlg_choose_es.json data[11][186][0],Soy un viajero.,Eu sou um viajante.
dlg_choose_es.json data[13][0][0],¿Qué servicios se brindan aquí?,Que serviços são oferecidos aqui?
dlg_choose_es.json data[13][1][0],Busco a alguien.,Estou procurando alguém.
dlg_choose_es.json data[13][2][0],"De momento,  nada.  Gracias.",Nada no momento. Obrigado.
dlg_choose_es.json data[15][129][0],Es correcto.,Está certo.
dlg_choose_es.json data[15][130][0],No es correcto.,Isso não está correto.
dlg_choose_es.json data[16][143][0],Papel en la sociedad.,Papel na sociedade.
dlg_choose_es.json data[16][144][0],Jerarquía.,Hierarquia.
dlg_choose_es.json data[17][184][0],No exactamente.,Não exatamente.
dlg_choose_es.json data[17][185][0],En cierto modo...,De certa forma...
dlg_choose_es.json data[18][31][0],¿Qué pasa?,O que está acontecendo?
dlg_choose_es.json data[18][32][0],¿Estás cansada?,Você está cansado?
dlg_choose_es.json data[18][149][0],"No, gracias.","Não, obrigado."
dlg_choose_es.json data[18][150][0],¿De qué sabor?,Qual sabor?
dlg_choose_es.json data[18][151][0],"Sí, por favor.","Sim, por favor."
dlg_choose_es.json data[19][138][0],Salida trasera.,Saída traseira.
dlg_choose_es.json data[19][139][0],¿A qué te dedicas?,Você trabalha com o que?
dlg_choose_es.json data[19][140][0],Azada.,Enxada.
dlg_choose_es.json data[19][141][0],Azada.,Enxada.
dlg_choose_es.json data[19][142][0],Nada.,Nada.
dlg_choose_es.json data[23][40][0],Trato hecho.,Negócio fechado.
dlg_choose_es.json data[23][41][0],Esto no está bien.,Isso não está certo.
dlg_choose_es.json data[24][101][0],Sí.,Sim.
dlg_choose_es.json data[24][102][0],No.,Não.
dlg_choose_es.json data[25][49][0],No digas nada.,Não diga nada.
dlg_choose_es.json data[25][50][0],¿Hablas conmigo?,Você está falando comigo?
dlg_choose_es.json data[25][112][0],Vamos.,Vamos.
dlg_choose_es.json data[25][113][0],Espera.,Espere.
dlg_choose_es.json data[25][114][0],¿Qué hacemos?,O que devemos fazer?
dlg_choose_es.json data[28][109][0],¿Qué?,Que?
dlg_choose_es.json data[28][110][0],Nunca las he visto.,Nunca os vi.
dlg_choose_es.json data[28][184][0],He cambiado.,Eu mudei.
dlg_choose_es.json data[28][185][0],Has cambiado.,Você mudou.
dlg_choose_es.json data[29][101][0],Cabeza.,Cabeça.
dlg_choose_es.json data[29][102][0],Orejas.,Ouvidos.
dlg_choose_es.json data[29][103][0],Templos.,Templos.
dlg_choose_es.json data[29][105][0],Por supuesto.,Claro.
dlg_choose_es.json data[29][106][0],Quizá no.,Talvez não.
dlg_choose_es.json data[29][174][0],¿Quién eres?,Quem é você?
dlg_choose_es.json data[29][175][0],¡Déjame pasar!,Deixe-me passar!
dlg_choose_es.json data[31][40][0],"Sí, por favor.","Sim, por favor."
dlg_choose_es.json data[31][41][0],No hace falta.,Não é necessário.
dlg_choose_es.json data[33][4][0],¿Vida en la Tierra?,Vida na Terra?
dlg_choose_es.json data[33][5][0],¿Catástrofes en el universo?,Catástrofes no universo?
dlg_choose_es.json data[33][6][0],Tengo que ir.,Tenho que ir.
dlg_choose_es.json data[34][31][0],Me alegro.,Que bom ouvir isso.
dlg_choose_es.json data[34][32][0],¿Por qué?,Porque?
dlg_choose_es.json data[34][123][0],El beso de ayer.,O beijo de ontem.
dlg_choose_es.json data[34][124][0],¿Qué has hecho mientras meditábamos?,O que você fez enquanto estávamos meditando?
dlg_choose_es.json data[34][125][0],¿Qué haces aquí?,O que você está fazendo aqui?
dlg_choose_es.json data[36][169][0],Sí.,Sim.
dlg_choose_es.json data[36][170][0],No.,Não.
dlg_choose_es.json data[37][0][0],Solía ser...,Costumava ser...
dlg_choose_es.json data[37][1][0],¿Es tan obvio?,É tão óbvio assim?
dlg_choose_es.json data[38][11][0],¿Molestaba?,Foi irritante?
dlg_choose_es.json data[38][12][0],Era interesante.,Foi interessante.
dlg_choose_es.json data[39][149][0],¿Por qué?,Porque?
dlg_choose_es.json data[39][150][0],¿Amigos?,Amigos?
dlg_choose_es.json data[39][151][0],No muy confortable.,Não é muito confortável.
dlg_choose_es.json data[40][31][0],¡Ojalá!,Esperançosamente!
dlg_choose_es.json data[40][32][0],Tal vez...,Talvez...
dlg_choose_es.json data[41][9][0],¿Te he ofendido?,Eu te ofendi?
dlg_choose_es.json data[41][10][0],Perdona por haberme ido.,Desculpe por ir embora.
dlg_choose_es.json data[41][11][0],Tu madre.,Sua mãe.
dlg_choose_es.json data[41][12][0],Turbinas eólicas.,Turbinas eólicas.
dlg_choose_es.json data[41][13][0],¿Qué tal tu pierna?,Como está sua perna?
dlg_choose_es.json data[41][14][0],¿Y la guerra civil?,E a guerra civil?
dlg_choose_es.json data[41][72][0],¿En qué sentido?,Em que sentido?
dlg_choose_es.json data[41][73][0],Gracias por la ayuda.,Obrigado pela ajuda.
dlg_choose_es.json data[41][74][0],Tienes razón.,Você tem razão.
dlg_choose_es.json data[42][0][0],Sin problema.,Sem problemas.
dlg_choose_es.json data[42][1][0],¿Siempre actúas así?,Você sempre age assim?
dlg_choose_es.json data[43][5][0],¿Vida en la colonia joviana?,Como é a vida na colônia joviana?
dlg_choose_es.json data[44][101][0],¿Por qué no?,Por que não?
dlg_choose_es.json data[44][102][0],¿Quieres quedarte?,Você quer ficar?
dlg_choose_es.json data[45][109][0],¿Qué razones?,Quais são os motivos?
dlg_choose_es.json data[45][110][0],Ella es introvertida.,Ela é introvertida.
dlg_choose_es.json data[47][49][0],¡Otra vez tú!,Você de novo!
dlg_choose_es.json data[47][50][0],¿Por qué?,Porque?
dlg_choose_es.json data[48][70][0],¿Por qué estás aquí?,Por que você está aqui?
dlg_choose_es.json data[48][71][0],Beatrix.,Beatriz.
dlg_choose_es.json data[48][72][0],La cita.,O compromisso.
dlg_choose_es.json data[48][73][0],Estuvo bien lo de ayer.,Ontem foi um bom dia.
dlg_choose_es.json data[48][74][0],¿Cómo está Bandar?,Como está Bandar?
dlg_choose_es.json data[48][75][0],El beso.,O beijo.
dlg_choose_es.json data[48][76][0],¿Estás bien?,Você está bem?
dlg_choose_es.json data[48][77][0],Vamos.,Vamos.
dlg_choose_es.json data[48][84][0],Tienes razón.,Você tem razão.
dlg_choose_es.json data[48][85][0],¿Qué quieres decir?,O que você quer dizer?
dlg_choose_es.json data[48][86][0],¿Cómo lo sabes?,Como você sabe?
dlg_choose_es.json data[48][149][0],¿Te molesta mi presencia?,Minha presença te incomoda?
dlg_choose_es.json data[48][150][0],"¿Soy especial, entonces?","Então, eu sou especial?"
dlg_choose_es.json data[51][84][0],No entiendo.,Eu não entendo.
dlg_choose_es.json data[51][85][0],Visito el templo.,Eu visito o templo.
dlg_choose_es.json data[52][139][0],Estamos armados.,Estamos armados.
dlg_choose_es.json data[52][140][0],Somos clérigos.,Somos clérigos.
dlg_choose_es.json data[53][149][0],Soy amigable.,Sou amigável.
dlg_choose_es.json data[53][150][0],No sé.,Não sei.
dlg_choose_es.json data[53][151][0],Tu subconsciente.,Seu subconsciente.
dlg_choose_es.json data[55][11][0],¿De verdad que no te acuerdas?,Você realmente não se lembra?
dlg_choose_es.json data[55][12][0],La batería.,A bateria.
dlg_choose_es.json data[55][49][0],¿Brujería?,Feitiçaria?
dlg_choose_es.json data[55][50][0],Soy inocente.,Sou inocente.
dlg_choose_es.json data[57][0][0],Sin problema.,Sem problemas.
dlg_choose_es.json data[57][2][0],No se callaba.,Ele não parava de falar.
dlg_choose_es.json data[58][139][0],Sala del tesoro.,Sala do tesouro.
dlg_choose_es.json data[58][140][0],¿No pides ayuda?,Você não está pedindo ajuda?
dlg_choose_es.json data[58][141][0],Salida secreta.,Saída secreta.
dlg_choose_es.json data[58][142][0],Sala del tesoro.,Sala do tesouro.
dlg_choose_es.json data[58][143][0],¿No pides ayuda?,Você não está pedindo ajuda?
dlg_choose_es.json data[58][144][0],Salida secreta.,Saída secreta.
dlg_choose_es.json data[59][112][0],Podlas.,Podlas.
dlg_choose_es.json data[59][113][0],Ciberorangos.,Laranjas cibernéticas.
dlg_choose_es.json data[59][114][0],Adiós.,Bye Bye.
dlg_choose_es.json data[59][117][0],No me soporta.,Ele não me suporta.
dlg_choose_es.json data[59][118][0],Lo he notado.,Eu percebi isso.
dlg_choose_es.json data[62][109][0],¿Quiénes son?,Quem são eles?
dlg_choose_es.json data[62][110][0],¿Qué quieren?,O que eles querem?
dlg_choose_es.json data[63][148][0],Es una nave espacial.,É uma nave espacial.
dlg_choose_es.json data[63][149][0],Está sucia.,Está sujo.
dlg_choose_es.json data[63][150][0],Es un invernadero.,É uma estufa.
dlg_choose_es.json data[63][151][0],¿Qué?,Que?
dlg_choose_es.json data[64][0][0],"Sí, me has sorprendido.","Sim, você me surpreendeu."
dlg_choose_es.json data[64][2][0],No lo dudaba.,Eu não tinha dúvidas.
dlg_choose_es.json data[67][49][0],Explícate.,Explique-se.
dlg_choose_es.json data[67][50][0],Corre.,Corridas.
dlg_choose_es.json data[67][157][0],No.,Não.
dlg_choose_es.json data[67][158][0],¿Por qué?,Porque?
dlg_choose_es.json data[68][0][0],Me parece un  buen sitio.,Acho que é um bom lugar.
dlg_choose_es.json data[68][2][0],Tienes razón.  Parece bastante aburrido.,Você tem razão. Parece bem chato.
dlg_choose_es.json data[68][124][0],Dejémoslo aquí.,Vamos deixar por isso mesmo.
dlg_choose_es.json data[68][125][0],Libéralo.,Libertem-no.
dlg_choose_es.json data[72][174][0],¿Por qué?,Porque?
dlg_choose_es.json data[72][175][0],Para.,Para.
dlg_choose_es.json data[72][176][0],Como quieras.,O que você quiser.
dlg_choose_es.json data[83][109][0],¡Pero soy yo!,Mas sou eu!
dlg_choose_es.json data[83][110][0],"Por favor, no digas nada.","Por favor, não diga nada."
dlg_choose_es.json data[85][0][0],¿Estás bien?,Você está bem?
dlg_choose_es.json data[85][2][0],¿Estás contando?,Você está contando?
dlg_choose_es.json data[85][40][0],No.,Não.
dlg_choose_es.json data[85][41][0],Yo también.,Eu também.
dlg_choose_es.json data[86][174][0],A mí tampoco me gustan.,Eu também não gosto deles.
dlg_choose_es.json data[86][175][0],¿Por qué?,Porque?
dlg_choose_es.json data[88][139][0],¿Te gusta?,Você gosta disso?
dlg_choose_es.json data[88][140][0],¿Te asusta?,Isso te assusta?
dlg_choose_es.json data[90][117][0],He roto una pala.,Quebrei uma pá.
dlg_choose_es.json data[90][118][0],Él no quiere.,Ele não quer.
dlg_choose_es.json data[91][0][0],No es estúpido.,Ele não é estúpido.
dlg_choose_es.json data[91][2][0],¿Sueles pensar en ello?,Você costuma pensar nisso?
dlg_choose_es.json data[92][40][0],Espantoso.,Assustador.
dlg_choose_es.json data[92][41][0],Emocionante.,Excitante.
dlg_choose_es.json data[96][0][0],No sé.,Não sei.
dlg_choose_es.json data[96][2][0],"Simplemente, me gusta.",Eu simplesmente gosto.
dlg_choose_es.json data[96][40][0],¿Puedo verlo?,Posso ver?
dlg_choose_es.json data[96][41][0],¿Qué dibujas?,O que você está desenhando?
dlg_choose_es.json data[96][139][0],¿Estás bien?,Você está bem?
dlg_choose_es.json data[96][140][0],¿Me respondes?,Você vai me responder?
dlg_choose_es.json data[96][156][0],NO.,NÃO.
dlg_choose_es.json data[96][157][0],NO.,NÃO.
dlg_choose_es.json data[96][158][0],NO.,NÃO.
dlg_choose_es.json data[96][159][0],NO.,NÃO.
dlg_choose_es.json data[99][117][0],Un buen pasatiempo.,Um bom passatempo.
dlg_choose_es.json data[99][118][0],Qué pasatiempo más raro.,Que passatempo estranho.
dlg_choose_es.json data[100][0][0],Me gusta hacer preguntas.,Eu gosto de fazer perguntas.
dlg_choose_es.json data[100][2][0],Tendría poco que aportar a la conversación.,Eu teria pouco a contribuir para a conversa.
dlg_choose_es.json data[101][174][0],Fascinante.,Fascinante.
dlg_choose_es.json data[101][175][0],Asqueroso.,Nojento.
dlg_choose_es.json data[102][40][0],¿Extraño?,Estranho?
dlg_choose_es.json data[102][41][0],¿Algo no va bien?,Aconteceu alguma coisa?
dlg_choose_es.json data[102][109][0],Gracias.,Obrigado.
dlg_choose_es.json data[102][110][0],Te buscarán.,Eles virão procurar por você.
dlg_choose_es.json data[102][139][0],Bandar y Billy.,Bandar e Billy.
dlg_choose_es.json data[102][140][0],¿Y ahora qué?,E agora?
dlg_choose_es.json data[105][124][0],Él tiene razón.,Ele tem razão.
dlg_choose_es.json data[105][125][0],Voy yo.,Eu vou.
dlg_choose_es.json data[105][126][0],"Puedes irte, Billy.","Pode ir, Billy."
dlg_choose_es.json data[105][127][0],Voy yo.,Eu vou.
dlg_choose_es.json data[108][0][0],Efectivamente.,De fato.
dlg_choose_es.json data[108][2][0],Algunas.,Alguns.
dlg_choose_es.json data[108][139][0],Un momento.,Um momento.
dlg_choose_es.json data[108][140][0],"¡Sí, vamos!","Sim, vamos lá!"
dlg_choose_es.json data[111][174][0],Es relajante.,É relaxante.
dlg_choose_es.json data[111][175][0],Dan miedo.,Eles são assustadores.
dlg_choose_es.json data[115][157][0],Cuéntaselo todo.,Conte tudo para ele.
dlg_choose_es.json data[115][158][0],Permanece en silencio.,Permaneça em silêncio.
dlg_choose_es.json data[118][139][0],¡Estupendo!,Ótimo!
dlg_choose_es.json data[118][140][0],¿Por qué?,Porque?
dlg_choose_es.json data[119][174][0],No entiendo.,Eu não entendo.
dlg_choose_es.json data[119][175][0],¿La guerra?,Guerra?
dlg_choose_es.json data[126][174][0],No lo sé.,Não sei.
dlg_choose_es.json data[126][175][0],No puedo decírtelo.,Não posso te dizer.
dlg_choose_es.json data[127][139][0],Antes de que yo llegara.,Antes da minha chegada.
dlg_choose_es.json data[127][140][0],Antes de que te abrieras.,Antes de você se abrir.
dlg_choose_es.json data[127][194][0],Salva a tu padre.,Salve seu pai.
dlg_choose_es.json data[127][195][0],Escucha a tu padre.,Escute seu pai.
dlg_choose_es.json data[128][117][0],¡Otra nave!,Outro navio!
dlg_choose_es.json data[128][118][0],¿Estás bien?,Você está bem?
dlg_choose_es.json data[132][117][0],¿Qué ha pasado?,O que aconteceu?
dlg_choose_es.json data[132][118][0],¿Os llevabais bien?,Vocês se davam bem?
dlg_choose_es.json data[138][139][0],Tengo que decirte una cosa...,Preciso te contar uma coisa...
dlg_choose_es.json data[138][140][0],Yo sé por qué...,Eu sei porquê...
dlg_choose_es.json data[138][141][0],La verdad...,A verdade...
dlg_choose_es.json data[140][117][0],"Probablemente, quería protegerte.",Ele provavelmente queria te proteger.
dlg_choose_es.json data[140][118][0],Era doloroso.,Foi doloroso.
dlg_dialoghi_es.json data[0][0][0],"Mal tiempo, ¿eh?","Tempo ruim, né?"
dlg_dialoghi_es.json data[0][4][0],Chierico,Chierico
dlg_dialoghi_es.json data[0][5][0],ROBOT Ghisan,Robô Ghisan
dlg_dialoghi_es.json data[0][6][0],Un adepto del culto.,Um seguidor do culto.
dlg_dialoghi_es.json data[0][7][0],Bandar,Bandar
dlg_dialoghi_es.json data[0][8][0],Gattaro,Gattaro
dlg_dialoghi_es.json data[0][10][0],¡Lila!  Lávate los dientes. Es hora de dormir.,Lila! Escove os dentes. Está na hora de dormir.
dlg_dialoghi_es.json data[0][13][0],[font=Sus]Nnngh...[/font],[font=Sus]Nnngh...[/font]
dlg_dialoghi_es.json data[0][16][0],"Hola. Ya nos habíamos visto, ¿verdad?","Olá. Já nos conhecemos, não é?"
dlg_dialoghi_es.json data[0][19][0],"¡Oh, Kapade, este [font=Bold]kimono[/font] es sencillamente fantástico!","Oh, Kapade, este quimono é simplesmente fantástico!"
dlg_dialoghi_es.json data[0][21][0],"Buenos días, caballero. ¿Puedo preguntarle qué hace?","Bom dia, senhor. Posso perguntar o que o senhor faz?"
dlg_dialoghi_es.json data[0][23][0],"Hola, ¿qué vende aquí?","Olá, o que vocês vendem aqui?"
dlg_dialoghi_es.json data[0][25][0],¡Mira todas estas cosas!,Olha só quanta coisa!
dlg_dialoghi_es.json data[0][29][0],"¡Hola, [font=Bold]alma en pena[/font]!","Olá, alma perdida!"
dlg_dialoghi_es.json data[0][32][0],Espera un momento...,Espere um minuto...
dlg_dialoghi_es.json data[0][35][0],[font=Urlato]¡¡¡ARREPENTÍOS!!![/font],[font=Urlato]ARREPENDA-SE!!![/font]
dlg_dialoghi_es.json data[0][38][0],"Estúpido pedazo de hojalata, ¿[font=Bold]entiendes[/font] lo que te digo?","Seu pedaço de lata estúpido, você entende o que eu estou dizendo?"
dlg_dialoghi_es.json data[0][41][0],"¿Entonces, qué queréis?","Então, o que você quer?"
dlg_dialoghi_es.json data[0][50][0],... Informe del censo del sector residencial A-27...,...Relatório do Censo do Setor Residencial A-27...
dlg_dialoghi_es.json data[0][60][0],Mmm... Buenos días.,Hum... Bom dia.
dlg_dialoghi_es.json data[0][67][0],¡Buenos días!,Bom dia!
dlg_dialoghi_es.json data[0][73][0],¿Y tú quién eres?,E quem é você?
dlg_dialoghi_es.json data[0][81][0],¡Buenos días!,Bom dia!
dlg_dialoghi_es.json data[0][85][0],Bueno... ¿y quién es este tipo?,"Ok... então, quem é esse cara?"
dlg_dialoghi_es.json data[0][90][0],Buenos días.,Bom dia.
dlg_dialoghi_es.json data[0][93][0],¿Qué es eso de ahí?,O que é aquilo ali?
dlg_dialoghi_es.json data[0][100][0],¡Qué sitio tan agradable!,Que lugar encantador!
dlg_dialoghi_es.json data[0][102][0],"El [font=Bold]pulgar[/font], que representa la destreza manual. Este corte trae la desvinculación con la necesidad de influir en el mundo y en los demás, centrándonos en su lugar en conquistar a nuestro propio ser.","O polegar, que representa a destreza manual. Este corte promove um desapego da necessidade de influenciar o mundo e os outros, concentrando-se, em vez disso, na conquista do nosso próprio ser."
dlg_dialoghi_es.json data[0][105][0],¿D-dónde estoy?,O-onde estou?
dlg_dialoghi_es.json data[0][110][0],¡Lila!,Lilás!
dlg_dialoghi_es.json data[0][113][0],Ya casi estamos.,Estamos quase lá.
dlg_dialoghi_es.json data[0][118][0],¿Esa es la famosa podla?,É aquela a famosa podla?
dlg_dialoghi_es.json data[0][125][0],[font=Sus]Nnnghh...[/font],[font=Sus]Nnnghh...[/font]
dlg_dialoghi_es.json data[0][127][0],"Si vamos andando por ahí, podrían reconocernos.","Se estivermos andando por aí, eles podem nos reconhecer."
dlg_dialoghi_es.json data[0][130][0],Impresionante.,Incrível.
dlg_dialoghi_es.json data[0][132][0],Buenos días.,Bom dia.
dlg_dialoghi_es.json data[0][135][0],Buenos días.,Bom dia.
dlg_dialoghi_es.json data[0][140][0],¡Buenos días!,Bom dia!
dlg_dialoghi_es.json data[0][144][0],"¡Maestro, es un honor!","Maestro, é uma honra!"
dlg_dialoghi_es.json data[0][150][0],Uf... Esto está empezando a cansarme.,Ugh... Isso está começando a ficar cansativo.
dlg_dialoghi_es.json data[0][158][0],¡Sigamos! ¡Seguro que el próximo tiene algo de valor!,Vamos continuar! Tenho certeza de que o próximo terá algo de valor!
dlg_dialoghi_es.json data[0][170][0],[font=Sus]Nnngh...[/font],[font=Sus]Nnngh...[/font]
dlg_dialoghi_es.json data[0][175][0],"[font=Bold]Oh, ¿otra vez tú?[/font]","[font=Bold]Ah, você de novo?[/font]"
dlg_dialoghi_es.json data[0][180][0],[font=Sus]Nnngh...[/font],[font=Sus]Nnngh...[/font]
dlg_dialoghi_es.json data[0][185][0],¿Hola? ¿Hay alguien ahí?,Olá? Tem alguém aí?
dlg_dialoghi_es.json data[0][190][0],¡Bien! ¡Por fin yo encontrar vos!,Ótimo! Finalmente te encontrei!
dlg_dialoghi_es.json data[0][195][0],"Primero de todo, tenemos que entrar en un [font=Bold]trance meditativo[/font], para que podamos alinear nuestros poderes.","Primeiramente, precisamos entrar em um estado meditativo para que possamos alinhar nossas energias."
dlg_dialoghi_es.json data[0][200][0],Ya estamos aquí... Deberíamos estar justo encima de esa cosa.,Estamos aqui agora... Devemos estar em cima disso.
dlg_dialoghi_es.json data[0][205][0],Bayas de podla  Té que se torna de color azul brillante al exponerse al oxígeno. Muy amargo. Extremadamente revigorizante.,Bagas de Podla. Chá que fica azul brilhante quando exposto ao oxigênio. Muito amargo. Extremamente revigorante.
dlg_dialoghi_es.json data[0][206][0],HOJAS DE COYALA  TÉ MUY DENSO Y OSCURO. SU ASPECTO CONTRASTA CON SU GUSTO DULCE Y DELICADO.,FOLHAS DE COYALA: CHÁ MUITO DENSO E ESCURO. SUA APARÊNCIA CONTRASTA COM SEU SABOR DOCE E DELICADO.
dlg_dialoghi_es.json data[0][207][0],SAVIA DE CHAAL  TÉ DE COLOR VERDE INTENSO CON UN REGUSTO ACIDO QUE PASA A SER DULCE AL CABO DE UN PAR DE SEGUNDOS DE HABERLO INGERIDO. MUY RELAJANTE.,"Sapa de Chaal é um chá verde intenso com um leve toque ácido no final, que se torna doce após alguns segundos. Muito relaxante."
dlg_dialoghi_es.json data[0][210][0],Voces,Vozes
dlg_dialoghi_es.json data[0][211][0],Efectos de sonido,Efeitos sonoros
dlg_dialoghi_es.json data[0][212][0],Música,Música
dlg_dialoghi_es.json data[0][213][0],Velocidad de textos,Velocidade do texto
dlg_dialoghi_es.json data[0][214][0],Diálogos automáticos,Diálogos automatizados
dlg_dialoghi_es.json data[0][215][0],Pantalla completa,Tela cheia
dlg_dialoghi_es.json data[0][216][0],Idioma,Linguagem
dlg_dialoghi_es.json data[0][217][0],Velocidad del cursor,Velocidade do cursor
dlg_dialoghi_es.json data[0][218][0],Menú principal,Menu principal
dlg_dialoghi_es.json data[1][0][0],"Con tanta lluvia, casi no se ve ni la luz de las ventanas.","Com tanta chuva, mal se consegue ver a luz que entra pelas janelas."
dlg_dialoghi_es.json data[1][1][0],No es para tanto. Pero parece que tu comercio es el único que está abierto.,Não é nada demais. Mas parece que sua loja é a única aberta.
